HAC,DEN,BHC
425.71,2.11452,432.922
426.26,2.11558,433.398
426.542,2.11702,433.164
426.556,2.11852,432.51
426.265,2.11975,431.542
425.97,2.12059,431.257
426.167,2.12131,432.401
426.485,2.12201,433.29
426.333,2.12249,432.799
426.132,2.12269,432.773
426.093,2.12262,433.383
426.018,2.12227,433.68
425.887,2.12163,433.625
425.784,2.12069,433.39
425.559,2.11942,432.733
424.961,2.11786,431.626
423.914,2.11624,430.647
422.885,2.11484,430.343
421.465,2.11391,429.514
415.752,2.11437,424.489
407.328,2.11712,418.919
416.615,2.11829,428.269
422.912,2.11793,432.122
423.794,2.1172,429.13
422.746,2.11723,427.033
421.032,2.11848,427.187
420.739,2.12036,428.562
422.085,2.12212,430.864
424.138,2.12351,433.334
425.589,2.12467,434.862
426.268,2.12569,435.691
426.451,2.12655,436.176
426.443,2.12723,436.725
426.21,2.12757,437.111
426.05,2.12782,437.845
426.259,2.1282,438.999
426.472,2.12879,439.805
426.595,2.12952,440.272
426.792,2.13024,440.59
426.911,2.13108,440.778
426.937,2.13235,440.996
426.948,2.13422,441.233
426.989,2.1366,441.407
426.986,2.13921,441.279
426.99,2.14196,441.11
427.013,2.14501,441.058
426.857,2.14817,440.527
426.483,2.15095,439.357
426.204,2.15329,438.295
426.148,2.15523,437.584
426.235,2.15695,437.009
426.253,2.15864,436.309
426.168,2.16034,435.461
425.969,2.16207,434.582
425.874,2.16387,433.997
425.874,2.16567,433.52
425.92,2.16737,433.058
425.926,2.1689,432.601
425.882,2.17024,432.197
425.837,2.17147,432.052
425.796,2.17265,432.061
425.641,2.17363,431.801
425.491,2.17432,431.657
425.998,2.17479,432.678
426.61,2.1752,433.507
426.795,2.17546,433.342
426.62,2.17532,432.498
426.361,2.17448,431.386
425.868,2.17287,430.402
425.545,2.17067,430.292
425.671,2.16819,431.099
425.922,2.16575,431.921
425.865,2.16348,432.012
425.531,2.16135,431.845
425.307,2.15944,432.324
425.142,2.15767,432.736
424.946,2.15592,432.807
425.037,2.15413,433.223
425.344,2.15222,433.502
425.463,2.15021,433.286
425.45,2.14819,433.117
425.295,2.14629,433.041
424.645,2.14452,432.421
423.827,2.14276,431.847
424.129,2.14097,432.844
425.353,2.13932,434.105
426.294,2.13806,434.643
426.632,2.13759,434.903
426.547,2.1379,434.682
426.259,2.13832,433.612
426.102,2.13865,433.612
426.092,2.13917,434.814
426.044,2.14021,435.883
425.927,2.14166,436.669
425.808,2.14293,437.08
425.834,2.14375,437.745
425.952,2.14407,438.324
425.996,2.14384,438.149
425.941,2.14297,437.116
425.842,2.14141,435.531
425.743,2.13943,433.973
425.339,2.1375,432.687
424.992,2.13595,431.735
424.848,2.13483,430.813
424.97,2.13401,430.013
425.034,2.1335,429.15
424.708,2.13338,428.052
423.71,2.13367,426.669
421.414,2.1346,424.981
419.775,2.13611,424.735
419.33,2.13785,425.175
419.382,2.1395,425.273
420.196,2.14088,425.709
421.505,2.14174,426.12
423.145,2.14207,426.629
424.509,2.14219,427.196
425.585,2.14265,427.976
425.659,2.14382,427.919
424.78,2.14565,427.552
424.565,2.14786,429.115
425.564,2.14979,431.17
426.381,2.15097,431.49
426.574,2.15172,431.358
426.39,2.15256,431.876
426.052,2.15361,432.594
425.625,2.15454,432.576
425.162,2.15484,431.742
424.41,2.15431,430.398
420.777,2.15332,426.371
405.203,2.15447,413.659
392.274,2.15774,408.502
397.872,2.15963,418.684
412.464,2.15897,429.069
421.462,2.15731,430.594
424.289,2.15624,427.212
425.396,2.15613,425.084
425.724,2.15699,424.73
426.021,2.15876,425.666
426.284,2.16101,426.439
426.282,2.16324,426.667
426.038,2.16534,427.393
425.698,2.16734,428.784
425.413,2.16919,430.526
425.691,2.17111,432.607
426.411,2.17333,434.4
426.437,2.17557,434.885
425.946,2.17759,435.084
425.744,2.17937,435.94
425.839,2.18081,436.457
426.048,2.18176,436.403
426.221,2.18223,435.665
426.132,2.18232,434.365
425.827,2.18236,433.217
425.65,2.18277,433.151
425.656,2.18359,433.347
425.528,2.18467,432.928
