4.15E-02,2.88E-02,1.74E-01,1.69E-01,3.94E-01,2.19E-01,1.59E-01,6.41E-02,1.02E-01,1.10E-01,1.87E-01,1.86E-01,1.53E-01
9.53E-02,6.16E-02,1.08E+00,1.45E+00,1.42E+00,1.61E+00,2.74E-01,1.29E-01,3.98E-01,4.73E-01,4.20E-01,4.57E-01,6.55E-01
3.57E-02,2.64E-02,1.28E-01,2.48E-01,2.93E-01,3.17E-01,1.53E-01,6.16E-02,1.28E-01,1.52E-01,2.39E-01,5.82E-02,1.53E-01
5.00E-02,3.07E-02,2.02E-01,3.74E-01,4.16E-01,3.71E-01,7.32E-02,6.94E-02,8.66E-02,8.89E-02,3.22E-01,2.09E-01,1.91E-01
3.51E-02,3.94E-02,1.15E-01,2.10E-01,3.65E-01,2.54E-01,1.18E-01,1.53E-01,9.30E-02,1.10E-01,2.81E-01,5.81E-02,1.53E-01
2.97E-02,4.50E-02,9.74E-02,1.67E-01,4.14E-01,1.78E-01,1.77E-01,6.01E-02,1.63E-01,2.32E-01,1.66E-01,2.58E-01,1.66E-01
3.69E-02,2.33E-02,1.76E-01,1.40E-01,3.41E-01,1.76E-01,1.12E-01,1.04E-01,1.18E-01,1.60E-01,1.24E-01,1.19E-01,1.36E-01
1.63E-02,1.47E-02,5.81E-02,9.37E-02,2.25E-01,1.03E-01,8.89E-02,3.83E-02,1.01E-01,1.35E-01,1.53E-01,1.48E-01,9.79E-02
1.76E-02,1.21E-02,1.35E-01,3.13E-01,2.48E-01,3.77E-01,6.60E-02,3.97E-02,8.54E-02,1.41E-01,1.37E-01,6.60E-02,1.36E-01
1.92E-02,1.79E-02,6.63E-02,1.33E-01,2.79E-01,1.57E-01,7.71E-02,3.80E-02,8.91E-02,1.19E-01,2.57E-01,5.97E-02,1.09E-01
2.30E-02,1.96E-02,9.53E-02,1.87E-01,3.55E-01,2.11E-01,6.05E-02,6.70E-02,1.11E-01,1.28E-01,1.42E-01,6.77E-02,1.22E-01
7.60E-02,4.10E-02,1.49E-01,1.99E-01,6.13E-01,2.62E-01,1.91E-01,2.24E-01,1.89E-01,2.69E-01,3.12E-01,1.46E-01,2.23E-01
1.10E-01,8.59E-02,4.80E-01,7.96E-01,1.19E+00,8.78E-01,1.91E-01,1.66E-01,1.44E-01,1.64E-01,2.72E-01,4.48E-01,4.10E-01
1.95E-02,1.64E-02,6.26E-02,7.37E-02,3.68E-01,1.19E-01,7.15E-02,5.44E-02,1.11E-01,1.65E-01,2.02E-01,1.51E-01,1.18E-01
3.61E-02,2.84E-02,1.78E-01,1.84E-01,3.24E-01,2.17E-01,1.61E-01,7.48E-02,1.30E-01,1.59E-01,1.98E-01,2.10E-01,1.58E-01
1.15E-01,7.14E-02,1.04E+00,1.47E+00,1.73E+00,1.65E+00,2.14E-01,9.90E-02,2.96E-01,3.30E-01,2.98E-01,3.30E-01,6.36E-01
2.53E-02,2.26E-02,1.23E-01,2.82E-01,2.50E-01,2.86E-01,9.07E-02,6.83E-02,8.29E-02,1.30E-01,2.79E-01,5.40E-02,1.41E-01
3.49E-02,3.13E-02,1.33E-01,2.81E-01,3.71E-01,2.61E-01,5.85E-02,4.87E-02,8.13E-02,1.03E-01,2.91E-01,1.91E-01,1.57E-01
3.13E-02,2.66E-02,6.04E-02,1.40E-01,2.64E-01,1.62E-01,1.22E-01,1.60E-01,9.40E-02,1.75E-01,3.16E-01,6.09E-02,1.34E-01
