DEPT    .M ,RMG     .none ,RMN     .none   ,RMN-RMG,CAL     .none ,SP      .none,GR      .none,HAC     .non,BHC     .none,DEN     .none 
723.279,4.507,4.816,0.309,22.282,121.552,105.945,423.29,403.205,2.092
723.329,4.002,4.499,0.497,22.297,121.78,103.344,423.28,403.257,2.102
723.379,3.923,4.653,0.73,22.308,121.715,100.073,402.137,400.32,2.117
723.429,4.179,4.888,0.709,22.311,121.715,97.187,402.137,397.65,2.135
723.479,4.46,5.144,0.684,22.298,122.008,94.686,383.338,391.989,2.149
723.529,4.762,5.571,0.809,22.259,122.105,93.147,383.333,390.172,2.168
723.579,5.108,6.094,0.986,22.216,121.877,94.206,375.107,390.332,2.183
723.629,5.698,6.508,0.81,22.197,121.552,97.669,375.116,392.63,2.189
723.679,5.76,6.26,0.5,22.206,121.454,100.459,412.714,398.985,2.188
723.729,4.739,5.103,0.364,22.222,121.519,102.191,412.714,403.364,2.176
723.779,3.821,4.275,0.454,22.219,121.487,102.672,401.394,402.671,2.162
723.829,4.211,4.697,0.486,22.195,121.389,104.309,401.385,397.808,2.147
723.879,5.023,5.231,0.208,22.169,121.129,105.463,392.415,394.284,2.137
723.929,4.822,5.163,0.341,22.15,120.868,106.521,392.415,393.643,2.124
723.979,4.313,4.983,0.67,22.146,120.933,105.367,400.746,394.124,2.115
724.029,4.257,4.958,0.701,22.151,121.226,102.674,400.748,394.071,2.104
724.079,4.347,5.027,0.68,22.156,121.454,100.362,409.402,396.369,2.096
724.129,4.379,4.966,0.587,22.158,121.584,98.438,409.401,398.772,2.099
724.179,4.256,4.84,0.584,22.156,121.584,98.438,408.333,403.205,2.115
724.229,4.138,4.816,0.678,22.149,121.454,98.054,408.333,402.938,2.135
724.279,4.35,5.002,0.652,22.143,121.422,98.63,391.995,395.783,2.155
724.329,4.944,5.165,0.221,22.149,121.389,100.075,391.981,392.039,2.16
724.379,4.658,4.645,-0.013,22.153,121.357,101.711,379.274,388.355,2.148
724.429,4.244,4.74,0.496,22.149,121.292,104.5,379.274,388.996,2.123
724.479,5.477,6.26,0.783,22.139,120.901,108.445,399.781,394.603,2.095
724.529,6.288,6.937,0.649,22.119,120.641,113.351,399.786,402.667,2.077
724.579,5.673,6.145,0.472,22.091,120.836,118.071,397.009,405.397,2.06
724.629,5.625,6.066,0.441,22.065,120.836,122.881,397.01,408.922,2.052
724.679,7.118,7.467,0.349,22.061,120.478,127.979,402.35,414.476,2.038
724.729,9.024,8.875,-0.149,22.079,120.152,131.731,402.35,416.88,2.021
724.779,9.55,9.021,-0.529,22.094,119.794,135.387,422.853,417.841,2.007
724.829,7.996,7.655,-0.341,22.098,119.664,136.543,422.872,416.988,2.001
724.879,6.847,6.716,-0.131,22.097,119.827,135.388,441.133,419.606,1.995
724.929,7.283,7.248,-0.035,22.099,119.762,130.962,441.133,423.771,1.994
724.979,7.387,7.526,0.139,22.108,119.729,126.73,446.9,429.699,1.997
725.029,7.235,7.193,-0.042,22.116,119.794,122.593,446.902,431.036,2.017
725.079,7.764,7.584,-0.18,22.128,119.631,119.317,436.432,431.463,2.036
725.129,8.185,8.15,-0.035,22.141,119.306,115.277,436.43,430.662,2.053
725.179,7.239,7.706,0.467,22.148,119.078,112.487,431.41,429.273,2.061
725.229,6.878,7.639,0.761,22.147,119.078,110.371,431.41,429.434,2.054
725.279,7.841,8.065,0.224,22.131,119.078,111.813,421.372,428.579,2.04
725.329,7.458,7.658,0.2,22.1,119.013,114.51,421.361,424.625,2.033
725.379,6.638,7.09,0.452,22.063,118.818,118.936,408.868,423.077,2.031
725.429,7.402,7.233,-0.169,22.029,118.622,124.323,408.868,421.688,2.032
725.479,8.082,7.928,-0.154,22.009,118.59,130.095,409.615,423.557,2.032
725.529,7.426,8.227,0.801,22.007,118.59,135.963,409.615,423.664,2.023
725.579,7.086,7.558,0.472,22.013,118.59,139.527,398.184,420.672,2.013
725.629,6.982,6.576,-0.406,22.023,118.492,141.259,398.182,417.414,1.999
725.679,7.239,7.355,0.116,22.032,118.394,142.125,390.385,413.141,2.002
725.729,9.355,9.875,0.52,22.049,118.46,141.836,390.385,414.156,2.01
725.779,9.37,9.413,0.043,22.077,118.46,139.72,412.596,419.015,2.019
725.829,6.685,6.755,0.07,22.111,118.069,136.639,412.613,420.138,2.026
725.879,6.736,6.914,0.178,22.135,117.743,134.426,424.893,418.483,2.031
725.929,7.65,7.67,0.02,22.161,117.906,132.887,424.893,417.361,2.036
725.979,6.465,6.714,0.249,22.202,117.809,132.406,426.816,415.706,2.035
726.029,5.736,6.166,0.43,22.242,117.483,133.368,426.816,415.759,2.033
726.079,5.68,6.175,0.495,22.279,117.548,134.426,424.038,416.4,2.027
726.129,5.561,6.276,0.715,22.319,117.646,134.042,424.038,417.735,2.025
726.179,6.375,6.717,0.342,22.357,117.646,133.945,423.504,418.91,2.025
726.229,6.99,6.882,-0.108,22.399,117.646,132.695,423.504,421.42,2.038
726.279,6.195,6.439,0.244,22.439,117.548,131.733,424.038,424.838,2.059
726.329,5.203,5.618,0.415,22.467,117.45,129.326,424.042,426.015,2.086
726.379,4.467,4.776,0.309,22.501,117.353,127.497,430.769,426.603,2.099
726.429,3.802,4.11,0.308,22.565,117.255,124.034,430.769,426.977,2.103
726.479,3.253,3.572,0.319,22.661,117.158,121.244,426.817,428.312,2.098
726.529,2.965,3.467,0.502,22.735,116.995,118.839,426.816,428.365,2.091
726.579,3.245,4.312,1.067,22.73,116.767,117.009,412.286,425.373,2.091
726.629,4.467,5.837,1.37,22.65,116.539,116.048,412.288,423.558,2.091
726.679,5.584,6.537,0.953,22.499,116.507,116.336,419.231,423.985,2.091
726.729,5.224,5.809,0.585,22.321,116.604,117.106,419.231,425.427,2.078
726.779,4.76,4.929,0.169,22.174,116.539,118.452,426.279,429.378,2.067
726.829,4.343,4.466,0.123,22.062,116.539,120.475,426.279,430.662,2.065
726.879,3.539,4.113,0.574,21.993,116.604,122.976,419.872,429.807,2.065
726.929,3.193,3.805,0.612,21.958,116.572,124.13,419.872,425.321,2.079
726.979,3.215,3.764,0.549,21.935,116.702,124.611,421.26,423.612,2.099
727.029,3.264,3.95,0.686,21.923,116.702,125.285,421.261,423.771,2.124
727.079,3.182,4.058,0.876,21.921,116.539,126.055,433.12,425.909,2.15
727.129,3.335,4.191,0.856,21.933,116.767,125.477,433.12,427.191,2.167
727.179,3.77,4.084,0.314,21.957,117.027,123.938,436.111,428.953,2.179
727.229,3.992,3.477,-0.515,22,116.767,121.244,436.111,429.06,2.19
727.279,3.594,2.958,-0.636,22.045,116.376,117.685,428.957,427.191,2.206
727.329,2.593,2.668,0.075,22.064,116.246,116.432,428.956,426.068,2.218
727.379,1.924,2.37,0.446,22.052,116.344,116.047,434.829,425.855,2.227
727.429,1.667,2.088,0.421,22.02,116.441,115.759,434.829,426.122,2.229
727.479,1.501,1.896,0.395,21.973,116.441,114.22,421.371,424.466,2.226
727.529,1.581,1.859,0.278,21.906,116.539,112.103,421.368,421.636,2.229
727.579,1.711,1.997,0.286,21.828,116.669,110.369,396.581,417.521,2.229
727.629,1.767,2.221,0.454,21.761,116.8,108.156,396.584,417.202,2.226
727.679,1.808,2.275,0.467,21.706,116.962,105.463,409.829,421.1,2.214
727.729,1.808,2.181,0.373,21.669,117.125,103.443,409.829,423.237,2.21
727.779,1.731,2.072,0.341,21.659,117.32,100.941,420.401,423.451,2.21
727.829,1.619,1.963,0.344,21.677,117.418,99.689,420.407,422.008,2.218
727.879,1.568,1.929,0.361,21.708,117.418,99.304,422.115,420.459,2.222
727.929,1.569,1.947,0.378,21.734,117.353,99.304,422.115,420.727,2.224
727.979,1.558,1.95,0.392,21.757,117.255,98.342,423.077,422.115,2.224
728.029,1.538,1.927,0.389,21.781,117.19,97.765,423.077,422.382,2.227
728.079,1.536,1.919,0.383,21.802,117.19,98.536,429.38,423.345,2.235
728.129,1.626,1.964,0.338,21.827,117.288,100.748,429.381,424.68,2.241
728.179,1.816,2.139,0.323,21.856,117.288,103.346,433.44,427.137,2.246
728.229,1.902,2.292,0.39,21.871,117.223,105.751,433.44,427.884,2.244
728.279,1.772,2.14,0.368,21.885,117.353,108.252,438.886,428.365,2.244
728.329,1.599,1.888,0.289,21.909,117.483,110.275,438.888,428.794,2.243
728.379,1.491,1.797,0.306,21.929,117.418,112.199,436.645,430.823,2.247
728.429,1.465,1.861,0.396,21.948,117.385,115.278,436.645,431.838,2.249
728.479,1.66,1.984,0.324,21.979,117.483,120.376,431.625,433.173,2.255
728.529,1.844,1.989,0.145,22.019,117.548,124.706,431.624,433.921,2.256
728.579,1.664,1.901,0.237,22.053,117.613,128.558,436.004,434.884,2.258
728.629,1.474,1.85,0.376,22.081,117.613,131.252,436.005,438.409,2.253
728.679,1.437,1.796,0.359,22.111,117.385,133.368,438.034,440.438,2.242
728.729,1.418,1.758,0.34,22.14,117.223,135.1,438.034,442.307,2.237
728.779,1.393,1.721,0.328,22.179,117.255,136.831,437.927,438.944,2.237
728.829,1.364,1.687,0.323,22.247,117.223,138.275,437.927,436.589,2.239
728.879,1.378,1.713,0.335,22.328,117.092,137.986,436.325,431.249,2.235
728.929,1.384,1.719,0.335,22.386,117.027,135.966,436.325,428.739,2.241
728.979,1.371,1.69,0.319,22.418,117.027,132.31,426.605,425.215,2.241
729.029,1.371,1.696,0.325,22.438,117.06,129.424,426.603,424.306,2.244
729.079,1.415,1.797,0.382,22.445,117.092,126.342,404.38,422.595,2.238
729.129,1.653,2.132,0.479,22.443,117.158,123.263,404.377,421.153,2.231
729.179,1.946,2.57,0.624,22.445,117.288,119.031,389.103,419.284,2.22
729.229,1.934,2.616,0.682,22.45,117.288,116.337,389.103,419.231,2.21
729.279,1.798,2.381,0.583,22.451,117.158,114.605,401.063,420.352,2.205
729.329,1.77,2.345,0.575,22.453,117.092,114.124,401.082,422.918,2.196
729.379,1.838,2.411,0.573,22.467,117.092,115.759,429.167,424.894,2.182
729.429,1.918,2.324,0.406,22.485,116.995,116.529,429.167,429.647,2.165
729.479,2.023,2.285,0.262,22.493,116.897,116.432,449.461,434.507,2.148
729.529,2.202,2.429,0.227,22.484,116.962,116.24,449.466,437.232,2.127
729.579,2.147,2.374,0.227,22.466,117.092,116.24,461.432,442.095,2.108
729.629,1.956,2.204,0.248,22.454,117.255,115.662,461.434,443.697,2.084
729.679,1.96,2.213,0.253,22.449,117.19,114.797,471.047,447.382,2.068
729.729,2.027,2.202,0.175,22.443,116.865,114.412,471.047,449.839,2.051
729.779,2.042,2.215,0.173,22.441,116.799,114.796,479.91,455.339,2.037
729.829,1.999,2.348,0.349,22.448,116.897,114.123,479.916,457.588,2.029
729.879,2.205,2.486,0.281,22.47,116.669,113.449,483.44,462.607,2.037
729.929,2.418,2.407,-0.011,22.508,116.604,112.102,483.44,464.637,2.057
729.979,2.081,2.145,0.064,22.547,116.897,111.814,464.428,467.467,2.086
730.029,1.661,1.984,0.323,22.574,116.865,112.775,464.423,467.575,2.119
730.079,1.474,1.871,0.397,22.589,116.865,113.834,456.517,467.682,2.143
730.129,1.385,1.766,0.381,22.596,117.06,113.064,456.518,469.338,2.159
730.179,1.365,1.707,0.342,22.603,116.962,111.429,458.333,470.887,2.168
730.229,1.396,1.708,0.312,22.606,116.8,110.082,458.333,474.412,2.168
730.279,1.42,1.732,0.312,22.604,116.604,109.985,465.488,475.64,2.162
730.329,1.418,1.735,0.317,22.604,116.409,111.334,465.49,474.517,2.158
730.379,1.451,1.736,0.285,22.618,116.474,113.738,462.821,469.444,2.155
730.429,1.457,1.732,0.275,22.64,116.572,114.7,462.821,465.919,2.152
730.479,1.426,1.748,0.322,22.649,116.572,114.412,456.732,456.626,2.156
730.529,1.431,1.778,0.347,22.639,116.539,114.123,456.731,450.11,2.165
730.579,1.47,1.811,0.341,22.602,116.572,115.857,441.987,435.413,2.185
730.629,1.554,1.923,0.369,22.537,116.767,119.031,441.979,427.079,2.21
730.679,1.798,2.264,0.466,22.454,116.897,121.34,408.547,410.043,2.238
730.729,2.15,2.769,0.619,22.361,116.995,122.494,408.547,403.848,2.259
730.779,2.415,3.07,0.655,22.261,117.06,122.014,394.238,394.075,2.278
730.829,2.601,3.159,0.558,22.125,116.962,122.303,394.221,388.509,2.297
730.879,2.998,3.535,0.537,21.969,116.865,123.554,374.038,376.655,2.313
730.929,4.129,4.395,0.266,21.852,116.734,125.766,374.038,370.566,2.324
730.979,4.828,4.902,0.074,21.789,116.669,126.728,336.014,357.215,2.33
731.029,4.408,4.736,0.328,21.773,116.734,125.959,336.004,342.689,2.338
731.079,4.079,4.421,0.342,21.777,116.637,124.226,343.162,334.929,2.344
731.129,3.544,4.04,0.496,21.785,116.474,123.072,343.168,320.886,2.356
