DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
848.419,6.242,6.11,-0.132,22.264,103.321,118.393,410.042,407.693,2.071
848.469,6.133,5.708,-0.425,22.279,103.251,115.058,408.761,403.421,2.08
848.519,5.518,5.58,0.062,22.289,103.182,115.057,404.268,401.174,2.084
848.569,5.24,5.368,0.128,22.288,103.112,115.842,392.841,397.863,2.089
848.619,5.916,4.785,-1.131,22.283,102.973,116.724,390.064,395.727,2.09
848.669,6.802,5.564,-1.238,22.281,102.973,117.018,387.501,391.454,2.096
848.719,6.839,6.986,0.147,22.276,103.112,118.489,383.656,388.837,2.11
848.769,5.758,5.893,0.135,22.259,103.112,121.434,377.77,388.248,2.129
848.819,4.675,4.099,-0.576,22.242,102.904,125.161,360.896,389.103,2.142
848.869,4.543,4.471,-0.072,22.239,102.834,128.593,352.778,391.987,2.148
848.919,6.381,6.954,0.573,22.242,102.973,132.025,356.623,392.628,2.143
848.969,9.026,8.682,-0.344,22.247,103.043,133.496,373.71,390.065,2.135
849.019,8.093,6.611,-1.482,22.255,102.973,134.282,382.699,388.462,2.12
849.069,5.174,4.346,-0.828,22.268,102.765,134.871,397.437,388.462,2.102
849.119,4.808,4.469,-0.339,22.284,102.556,135.655,402.564,389.316,2.09
849.169,5.325,4.755,-0.57,22.288,102.487,135.557,407.691,389.797,2.082
849.219,5.082,4.611,-0.471,22.277,102.487,135.557,408.013,389.316,2.079
849.269,5.22,4.665,-0.555,22.261,102.417,136.146,407.158,389.691,2.076
849.319,5.514,5.012,-0.502,22.255,102.209,136.636,405.982,391.294,2.075
849.369,5.579,5.4,-0.179,22.268,102.001,136.538,404.06,397.489,2.082
849.419,5.754,5.145,-0.609,22.286,101.931,135.557,402.137,400.854,2.092
849.469,5.908,4.802,-1.106,22.289,102.001,134.577,397.759,403.845,2.104
849.519,5.534,5.011,-0.523,22.278,102.001,133.791,394.872,403.099,2.116
849.569,5.01,4.624,-0.386,22.267,101.862,133.399,395.728,403.954,2.129
849.619,4.623,3.991,-0.632,22.261,101.862,133.007,400,406.09,2.138
849.669,4.128,3.699,-0.429,22.266,101.792,131.536,409.933,409.187,2.148
849.719,3.549,3.338,-0.211,22.283,101.445,129.379,415.275,409.669,2.156
849.769,3.046,3.056,0.01,22.301,101.097,125.649,415.275,408.332,2.168
849.819,3.056,3.037,-0.019,22.309,100.75,123.786,409.077,406.57,2.182
849.869,3.373,3.498,0.125,22.307,100.403,121.825,389.957,404.006,2.19
849.919,5.237,4.772,-0.465,22.288,100.264,120.942,384.724,405.288,2.198
849.969,7.267,5.79,-1.477,22.271,100.264,121.04,389.741,409.506,2.199
850.019,6.461,5.377,-1.084,22.274,100.264,122.12,395.303,410.737,2.201
850.069,5.331,4.474,-0.857,22.288,100.403,124.376,403.633,409.829,2.194
850.119,4.715,4.038,-0.677,22.308,100.82,127.318,405.556,407.853,2.181
850.169,3.978,3.951,-0.027,22.317,101.236,130.652,407.478,404.061,2.165
850.219,3.84,3.705,-0.135,22.308,101.445,133.006,407.052,401.55,2.158
850.269,3.931,3.57,-0.361,22.297,101.654,134.969,402.242,395.78,2.153
850.319,4.043,3.857,-0.186,22.294,102.001,136.636,399.145,395.353,2.156
850.369,4.002,4.232,0.23,22.294,102.418,136.44,399.786,397.703,2.161
850.419,4.092,4.27,0.178,22.291,102.626,133.204,403.204,404.539,2.175
850.469,4.131,3.533,-0.598,22.285,102.626,129.281,400.963,410.894,2.201
