DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
801.62,9.271,10.773,1.502,21.979,131.112,133.341,378.846,427.137,2.077
801.67,10.171,10.966,0.795,22.05,131.066,134.575,385.577,430.395,2.073
801.72,9.142,9.126,-0.016,22.069,131.041,135.472,402.137,431.036,2.056
801.77,8.208,8.332,0.124,22.063,130.934,134.238,422.115,429.808,2.034
801.82,8.825,8.701,-0.124,22.079,130.747,131.77,432.372,430.395,2.008
801.87,8.562,7.867,-0.695,22.175,130.557,129.19,450.534,431.41,2
801.92,7.088,6.762,-0.326,22.337,130.427,127.396,457.692,431.41,1.98
801.97,6.265,6.716,0.451,22.492,130.362,127.059,465.919,430.288,1.961
802.02,5.981,6.897,0.916,22.536,130.303,128.069,466.667,429.968,1.943
802.07,6.164,7.082,0.918,22.442,130.195,128.742,461.752,431.517,1.936
802.12,7.123,7.351,0.228,22.271,130.051,129.976,454.38,431.624,1.947
802.17,7.7,7.261,-0.439,22.051,129.937,130.536,437.607,429.38,1.967
802.22,7.076,6.709,-0.367,21.796,129.89,131.322,430.983,427.511,1.995
802.27,6.057,5.919,-0.138,21.528,129.881,130.761,428.205,425.481,2.016
802.32,5.179,5.205,0.026,21.299,129.875,130.2,431.09,425.588,2.013
802.37,4.509,4.541,0.032,21.142,129.889,128.405,433.761,426.442,2.011
802.42,3.91,3.84,-0.07,21.077,129.95,126.723,429.915,423.558,2.02
802.47,3.539,3.596,0.057,21.165,130.003,124.703,421.581,420.887,2.035
802.52,3.797,3.99,0.193,21.353,129.944,123.133,401.816,416.026,2.067
802.57,4.304,4.639,0.335,21.5,129.758,122.236,390.812,417.735,2.095
802.62,4.704,5.217,0.513,21.535,129.581,122.348,393.483,422.276,2.115
802.67,4.976,5.649,0.673,21.452,129.545,122.684,408.547,429.327,2.125
802.72,5.39,5.971,0.581,21.317,129.616,123.918,413.568,431.357,2.122
802.77,5.629,5.814,0.185,21.213,129.631,125.601,416.133,430.235,2.117
802.82,4.995,5.208,0.213,21.151,129.508,128.63,416.774,428.045,2.111
802.87,4.23,4.958,0.728,21.178,129.336,130.536,420.62,423.237,2.124
802.92,4.156,5.227,1.071,21.347,129.252,131.883,423.932,420.192,2.118
802.97,4.352,5.3,0.948,21.549,129.293,132.668,424.786,412.18,2.11
803.02,4.306,4.942,0.636,21.654,129.4,132.892,424.252,409.669,2.103
803.07,4.267,4.857,0.59,21.611,129.525,131.658,427.244,409.722,2.1
803.12,4.899,5.507,0.608,21.464,129.667,129.415,428.526,410.791,2.099
803.17,5.962,6.185,0.223,21.318,129.835,127.956,427.35,413.462,2.106
803.22,6.107,5.713,-0.394,21.224,130.007,126.498,419.231,413.088,2.119
803.27,4.837,4.276,-0.561,21.177,130.142,125.264,414.957,413.088,2.144
803.32,3.356,3.15,-0.206,21.139,130.215,121.787,413.568,415.972,2.171
803.37,2.633,2.714,0.081,21.064,130.247,116.851,418.269,416.827,2.192
803.42,2.422,2.658,0.236,20.974,130.31,111.243,420.406,416.186,2.206
803.47,2.383,2.773,0.39,20.913,130.419,108.326,416.239,413.889,2.207
803.52,2.413,2.917,0.504,20.896,130.487,107.204,409.081,412.5,2.208
803.57,2.474,3.02,0.546,20.905,130.47,106.195,397.65,413.622,2.207
803.62,2.553,3.037,0.484,20.955,130.387,104.512,394.124,415.972,2.2
803.67,2.569,2.968,0.399,21.071,130.314,102.157,395.299,421.047,2.213
803.72,2.541,2.883,0.342,21.182,130.314,100.586,397.329,422.81,2.224
803.77,2.513,2.858,0.345,21.193,130.374,100.923,400.748,422.222,2.217
803.82,2.476,2.85,0.374,21.11,130.431,101.932,401.816,420.94,2.204
803.87,2.459,2.821,0.362,21.076,130.455,104.4,402.564,418.91,2.202
803.92,2.451,2.793,0.342,21.136,130.482,106.307,402.35,418.964,2.184
803.97,2.439,2.771,0.332,21.223,130.544,108.214,407.799,419.017,2.18
804.02,2.466,2.766,0.3,21.399,130.618,111.018,418.269,420.085,2.179
804.07,2.494,2.734,0.24,21.727,130.659,113.935,423.291,420.085,2.183
804.12,2.524,2.669,0.145,22.115,130.665,116.851,430.449,420.727,2.187
804.17,2.6,2.628,0.028,22.419,130.654,118.87,430.662,421.261,2.18
804.22,2.661,2.58,-0.081,22.525,130.624,119.543,429.38,422.276,2.175
804.27,2.604,2.447,-0.157,22.443,130.579,120.89,428.312,424.893,2.171
804.32,2.413,2.242,-0.171,22.306,130.565,121.002,429.808,426.335,2.178
804.37,2.239,2.093,-0.146,22.256,130.627,121.338,436.218,430.502,2.192
804.42,2.208,2.07,-0.138,22.333,130.733,120.553,437.073,431.624,2.212
804.47,2.245,2.059,-0.186,22.436,130.8,118.983,432.692,432.318,2.229
804.52,2.277,1.955,-0.322,22.383,130.79,118.197,428.633,432.639,2.236
804.57,2.371,1.902,-0.469,22.133,130.742,117.3,421.261,434.722,2.233
804.62,2.463,2.063,-0.4,21.865,130.702,118.646,419.658,436.218,2.225
804.67,2.379,2.186,-0.193,21.747,130.675,120.104,421.261,438.729,2.21
804.72,2.197,2.104,-0.093,21.839,130.656,121.899,423.611,439.263,2.199
804.77,2.103,2.015,-0.088,22.074,130.656,123.582,427.671,435.684,2.195
804.82,2.115,2,-0.115,22.294,130.659,124.143,431.517,430.182,2.2
804.87,2.146,2.017,-0.129,22.424,130.623,123.694,433.013,427.564,2.209
804.92,2.163,2.038,-0.125,22.466,130.554,122.011,433.12,421.528,2.221
804.97,2.171,2.045,-0.126,22.456,130.519,119.319,430.876,416.239,2.229
805.02,2.145,2.053,-0.092,22.466,130.538,116.403,424.786,412.821,2.235
805.07,2.105,2.132,0.027,22.522,130.567,112.477,403.098,406.25,2.239
805.12,2.255,2.48,0.225,22.531,130.565,109.224,388.889,403.739,2.245
805.17,2.669,3.004,0.335,22.435,130.516,106.419,369.444,400.427,2.237
805.22,2.912,3.117,0.205,22.3,130.458,104.288,369.658,400,2.246
805.27,2.776,2.847,0.071,22.263,130.433,103.615,382.265,401.175,2.243
