DEPT    .M ,RMG     .ohmm ,RMN     .ohmm,RMN-RMG,CAL     .cm ,SP      .mv  ,GR      .   ,HAC     .us/m,BHC     .,DEN     .g/cm3 
787,2.526,2.506,-0.02,22.953,124.635,87.27,398.291,401.389,2.189
787.05,2.468,2.442,-0.026,22.896,124.398,87.27,398.397,400.855,2.205
787.1,2.436,2.445,0.009,22.838,124.209,88.155,403.312,400.908,2.225
787.15,2.475,2.485,0.01,22.791,124.115,89.727,406.838,401.175,2.224
787.2,2.523,2.483,-0.04,22.755,124.257,90.612,406.944,400.748,2.216
787.25,2.453,2.414,-0.039,22.741,124.257,91.202,403.205,399.733,2.204
787.3,2.42,2.52,0.1,22.741,124.304,91.496,394.444,398.077,2.2
787.35,2.724,2.975,0.251,22.746,124.635,92.774,393.162,398.291,2.21
787.4,3.153,3.377,0.224,22.764,124.824,92.872,399.145,400.801,2.219
787.45,3.25,3.315,0.065,22.792,124.871,92.086,411.004,405.075,2.217
787.5,3.026,2.983,-0.043,22.825,124.966,91.202,415.812,406.41,2.19
787.55,2.762,2.737,-0.025,22.858,125.06,90.71,420.192,406.998,2.152
787.6,2.579,2.586,0.007,22.891,125.06,89.924,420.299,407.051,2.128
787.65,2.482,2.466,-0.016,22.927,124.966,88.646,416.88,406.303,2.127
787.7,2.474,2.479,0.005,22.961,124.919,87.565,409.615,404.06,2.133
787.75,2.607,2.635,0.028,22.982,124.871,87.074,407.158,403.312,2.147
787.8,2.787,2.824,0.037,22.993,124.729,88.253,402.564,401.709,2.138
787.85,2.903,3.016,0.113,23.007,124.54,89.924,400.214,401.122,2.131
787.9,3.022,3.185,0.163,23.029,124.351,91.398,394.979,401.496,2.136
787.95,3.155,3.323,0.168,23.055,124.067,91.3,393.269,402.137,2.131
788,3.372,3.61,0.238,23.076,123.878,91.595,392.521,401.763,2.152
788.05,3.55,3.761,0.211,23.089,124.067,91.791,393.803,401.015,2.168
788.1,3.468,3.572,0.104,23.094,124.304,92.577,395.727,399.412,2.173
788.15,3.364,3.498,0.134,23.096,124.351,92.479,394.551,398.397,2.158
788.2,3.382,3.542,0.16,23.099,124.351,91.988,391.987,395.673,2.147
788.25,3.465,3.626,0.161,23.103,124.351,90.317,391.987,394.177,2.134
788.3,3.566,3.766,0.2,23.111,124.209,88.548,392.949,391.186,2.125
788.35,3.597,3.85,0.253,23.125,123.926,87.467,400.641,390.919,2.128
788.4,3.58,3.875,0.295,23.145,123.831,86.484,403.205,391.987,2.122
788.45,3.442,3.729,0.287,23.175,123.926,85.698,397.329,392.201,2.121
788.5,3.309,3.6,0.291,23.206,124.02,84.322,389.209,388.408,2.12
788.55,3.427,3.718,0.291,23.228,124.115,83.732,384.936,386.271,2.134
788.6,3.567,3.837,0.27,23.226,124.115,83.438,379.808,382.158,2.142
788.65,3.656,3.962,0.306,23.203,123.831,84.126,378.526,380.235,2.14
788.7,3.827,4.144,0.317,23.176,123.547,84.617,378.633,378.632,2.152
788.75,3.932,4.206,0.274,23.147,123.311,85.108,379.06,378.739,2.161
788.8,3.975,4.26,0.285,23.118,122.98,85.403,379.808,378.9,2.152
788.85,4.067,4.377,0.31,23.099,123.169,85.993,380.235,379.06,2.126
788.9,4.086,4.399,0.313,23.09,123.547,87.762,381.944,379.167,2.109
788.95,4.004,4.304,0.3,23.084,123.547,90.121,382.799,379.487,2.086
789,3.91,4.173,0.263,23.079,123.5,92.283,382.906,380.128,2.079
789.05,3.776,4.052,0.276,23.076,123.547,94.346,382.585,379.594,2.09
789.1,3.665,3.965,0.3,23.076,123.689,95.821,382.265,378.259,2.113
789.15,3.681,3.948,0.267,23.082,123.831,98.572,381.09,375.534,2.125
789.2,3.9,3.998,0.098,23.097,123.926,101.128,386.218,378.259,2.148
789.25,4.096,4.065,-0.031,23.109,124.115,103.585,388.996,379.808,2.153
789.3,4.051,4.18,0.129,23.104,124.446,103.585,393.269,382.265,2.144
789.35,4.032,4.291,0.259,23.085,124.682,103.29,393.483,382.799,2.134
789.4,3.98,4.19,0.21,23.066,124.729,102.209,383.333,380.769,2.146
789.45,3.709,4.003,0.294,23.044,124.729,102.307,375.534,378.9,2.138
789.5,3.76,4.298,0.538,22.994,124.682,102.897,365.171,378.152,2.155
789.55,5.067,5.145,0.078,22.917,124.54,103.781,367.628,380.502,2.175
789.6,6.129,5.531,-0.598,22.845,124.257,103.879,387.607,386.966,2.182
789.65,5.158,4.949,-0.209,22.804,123.973,105.059,396.154,389.53,2.171
789.7,4.014,4.245,0.231,22.798,123.831,106.435,398.932,392.254,2.149
789.75,3.732,3.945,0.213,22.803,123.689,107.909,397.009,393.269,2.132
789.8,3.666,3.911,0.245,22.803,123.689,108.695,393.376,394.284,2.13
789.85,3.812,4.052,0.24,22.8,123.878,107.319,396.047,395.566,2.135
789.9,3.957,4.146,0.189,22.8,124.115,105.943,399.038,396.154,2.14
789.95,3.913,4.063,0.15,22.811,124.115,103.978,402.564,397.276,2.139
790,3.844,3.99,0.146,22.826,124.257,103.486,402.35,400.855,2.13
790.05,3.884,4.037,0.153,22.849,124.493,101.717,401.709,403.953,2.118
790.1,3.977,4.115,0.138,22.899,124.493,100.44,399.145,408.013,2.113
790.15,4.075,4.193,0.118,22.978,124.729,98.769,398.611,408.387,2.102
790.2,4.118,4.281,0.163,23.057,124.824,98.867,397.97,408.868,2.088
790.25,4.088,4.337,0.249,23.096,124.824,100.44,399.786,409.348,2.086
790.3,4.073,4.327,0.254,23.089,124.824,102.307,405.983,408.761,2.092
790.35,4.034,4.24,0.206,23.053,124.966,103.781,410.897,409.348,2.103
790.4,4.009,3.878,-0.131,23.015,125.202,103.978,415.064,409.882,2.113
790.45,3.497,3.154,-0.343,23.006,125.202,105.354,414.637,408.707,2.118
790.5,2.832,2.922,0.09,23.026,124.871,106.729,411.538,406.944,2.119
790.55,3.451,3.662,0.211,23.062,124.493,109.186,408.227,406.517,2.121
790.6,4.355,4.416,0.061,23.093,124.257,111.348,399.893,406.891,2.131
790.65,4.393,4.658,0.265,23.104,124.067,111.25,390.919,404.915,2.136
790.7,4.355,4.695,0.34,23.099,123.595,110.464,389.103,401.977,2.14
790.75,4.511,4.784,0.273,23.087,123.169,107.909,394.979,395.94,2.142
790.8,4.558,4.834,0.276,23.055,123.547,106.041,398.718,393.803,2.135
790.85,4.19,4.389,0.199,22.998,124.02,104.076,401.068,393.056,2.128
790.9,4.091,4.248,0.157,22.94,124.02,102.798,394.231,392.147,2.113
790.95,4.825,5.016,0.191,22.906,124.02,101.422,389.423,391.079,2.105
791,5.16,5.474,0.314,22.894,124.067,99.752,384.936,387.553,2.098
791.05,5.232,5.615,0.383,22.878,124.257,99.752,383.013,385.47,2.101
791.1,5.776,6.09,0.314,22.846,124.54,100.833,384.188,385.363,2.101
791.15,6.2,6.575,0.375,22.813,124.398,104.469,386.432,386.752,2.107
791.2,6.351,6.719,0.368,22.793,124.067,108.007,395.94,388.462,2.105
791.25,6.221,6.443,0.222,22.783,124.02,111.348,403.526,388.622,2.099
791.3,5.999,6.092,0.093,22.775,124.209,112.921,409.188,384.188,2.091
791.35,5.72,5.734,0.014,22.779,124.398,112.626,406.517,382.265,2.093
791.4,5.146,5.26,0.114,22.796,124.351,110.955,392.415,379.434,2.105
791.45,4.76,5.068,0.308,22.817,124.162,109.874,386.004,377.991,2.127
791.5,4.939,5.323,0.384,22.838,123.973,108.793,378.953,376.442,2.156
791.55,5.461,5.79,0.329,22.86,123.784,106.828,373.077,373.184,2.165
791.6,5.836,6.151,0.315,22.878,123.642,104.567,359.188,370.673,2.166
791.65,5.88,6.41,0.53,22.873,123.595,101.521,353.419,370.62,2.159
791.7,6.344,7.025,0.681,22.851,123.642,99.457,362.714,376.122,2.157
791.75,7.267,7.583,0.316,22.842,123.784,99.752,378.846,380.876,2.154
791.8,7.138,7.135,-0.003,22.87,123.926,101.029,400.641,385.256,2.144
791.85,5.88,5.846,-0.034,22.931,123.926,102.012,397.97,383.44,2.128
791.9,4.856,4.912,0.056,22.989,123.878,102.405,382.799,378.472,2.116
791.95,4.81,5.176,0.366,23.012,123.878,102.209,374.466,377.511,2.113
792,5.612,5.861,0.249,22.999,123.831,101.324,373.077,380.876,2.114
792.05,5.965,5.912,-0.053,22.994,123.784,99.653,377.885,383.173,2.114
792.1,5.421,5.537,0.116,23.026,123.831,98.966,385.791,386.645,2.11
792.15,4.896,5.115,0.219,23.066,123.973,98.179,388.675,387.981,2.096
792.2,4.837,4.997,0.16,23.102,124.209,98.081,394.979,390.118,2.085
792.25,5.076,5.3,0.224,23.131,124.398,96.705,398.718,391.88,2.081
792.3,5.19,5.365,0.175,23.145,124.398,94.838,402.244,393.162,2.087
792.35,4.995,5.063,0.068,23.147,124.257,92.479,399.573,390.652,2.101
792.4,4.682,4.897,0.215,23.142,124.067,91.693,390.278,382.853,2.116
