DEPT    .M ,RMG     .ohmm  ,RMN     .ohmm  ,RMN-RMG,CAL     .cm   ,SP      .mv   ,GR      .  ,HAC     .us/m ,BHC     .   ,DEN     .g/cm3 
927.019,3.275,3.605,0.33,22.791,109.977,86.53,372.863,370.635,2.149
927.069,3.395,3.659,0.264,22.673,109.959,89.493,371.047,370.139,2.155
927.119,3.487,3.537,0.05,22.534,109.924,92.647,369.231,369.208,2.155
927.169,3.365,3.468,0.103,22.436,109.853,96.948,369.551,369.193,2.153
927.219,3.393,3.835,0.442,22.407,109.799,99.338,375.641,370.879,2.148
927.269,3.588,4.165,0.577,22.42,109.853,99.816,378.633,372.726,2.147
927.319,3.678,4.179,0.501,22.441,109.941,98.477,384.509,374.771,2.155
927.369,3.764,4.185,0.421,22.446,110.048,96.757,387.073,374.695,2.164
927.419,3.947,4.31,0.363,22.408,110.172,96.375,384.722,372.718,2.173
927.469,4.862,4.569,-0.293,22.355,110.208,96.757,379.167,371.513,2.174
927.519,5.718,4.734,-0.984,22.356,110.155,97.139,360.897,372.489,2.175
927.569,4.979,4.421,-0.558,22.41,110.066,96.183,357.906,375.328,2.17
927.619,3.969,3.92,-0.049,22.481,109.977,95.61,376.603,380.281,2.165
927.669,3.895,3.863,-0.032,22.502,109.995,95.514,384.615,383.135,2.163
927.719,4.282,4.116,-0.166,22.416,110.172,96.183,388.355,385.264,2.157
927.769,4.303,4.079,-0.224,22.297,110.368,96.757,387.286,386.111,2.156
927.819,3.938,3.838,-0.1,22.218,110.439,95.706,385.897,387.073,2.15
927.869,3.954,3.751,-0.203,22.195,110.421,91.978,385.897,387.988,2.141
927.919,3.928,3.678,-0.25,22.211,110.403,88.537,389.957,390.751,2.125
927.969,3.719,3.634,-0.085,22.226,110.439,86.625,392.094,392.895,2.115
928.019,3.734,3.695,-0.039,22.224,110.563,86.625,392.094,396.543,2.111
928.069,3.81,3.672,-0.138,22.206,110.723,86.339,392.201,398.382,2.11
928.119,4.121,3.794,-0.327,22.194,110.794,85,393.162,400.259,2.109
928.169,4.318,3.959,-0.359,22.194,110.794,84.14,393.162,401.236,2.103
928.219,3.905,3.688,-0.217,22.248,110.741,83.662,391.987,402.747,2.102
928.269,3.655,3.105,-0.55,22.415,110.528,86.052,396.474,403.716,2.1
928.319,3.117,2.506,-0.611,22.642,110.226,88.059,403.098,403.854,2.106
928.369,2.307,2.346,0.039,22.823,109.995,91.787,418.162,402.846,2.11
928.419,2.817,2.856,0.039,22.896,109.835,94.176,420.086,399.252,2.118
